productcode,productname,relatedcategoryid,categoryname,subcategoryname,subsubcategoryname,productdescription,fob,furtherdescription,defaultimagename,Size,Colors,Imprint,Imprint Method 1,Imprint Method 2,Weight,Lead Time,Rush Lead Time,Imprint Area,Packaging,Run Charge,Setup Charge,Set-up Charge,Additional Colors/Positions,Additional Colors,Additional Positions,Carton Weight (Lbs),Carton Width,Carton Height,Carton Length,Units Per Carton,pricename_1,quantity1_1,price1_1,discountcode1_1,quantity2_1,price2_1,discountcode2_1,quantity3_1,price3_1,discountcode3_1,quantity4_1,price4_1,discountcode4_1,quantity5_1,price5_1,discountcode5_1,quantity6_1,price6_1,discountcode6_1
2142,Construction Cone Stress Reliever,105,Stress Relievers,Stress Relievers,Stress Relievers,,48867 | Owosso | MI,"<b>*Special Note:</b> Our stress relievers are made of squeezable polyurethane. Some distortion of the imprint can be expected and ink coverage can vary. Due to the nature of the material, uniformity of the imprint cannot be guaranteed and may break up. Because they are hand made, no two stress relievers are the same.<br><b>*Stress reliever color may vary.</b><br><b>*Safety Advisory:</b> These products are not intended for use by children under 3 years old or pets.",2142.jpg,"2 1/2"" W x 3 3/4"" H",As pictured.,"Price includes a one color, one position imprint. Imprint area may vary depending on art submitted. Unless otherwise specified, your imprint will be positioned per the item photograph.",Silkscreen,,250 pieces = 20 lbs.<br>Items are shipped in oversized boxes by dimensional weight. Minimum freight charge is 30 lbs. per box.,"3 working days without paper proof, 5 working days with paper proof.",24 Hour Rush available without paper proof up to 1000 pieces. Complete order and useable art must be received by 11:00 a.m. CST and marked Next Day order. Add 20%.,See diagram.,,,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).","Add $.31 (G) each. Please note, uniformity of registration on an additional color/position imprint cannot be guaranteed. (Subject to review and approval of artwork by the factory)",,,20,18,18,12,250,Standard,250,1.24,C,500,1.19,C,1000,1.16,C,2500,1.13,C,,,,,,
2157,Slot Machine Stress Reliever,105,Stress Relievers,Stress Relievers,Stress Relievers,,48867 | Owosso | MI,"<b>*Special Note:</b> Our stress relievers are made of squeezable polyurethane. Some distortion of the imprint can be expected and ink coverage can vary. Due to the nature of the material, uniformity of the imprint cannot be guaranteed and may break up. Because they are hand made, no two stress relievers are the same.<br><b>*Stress reliever color may vary.</b><br><b>*Safety Advisory:</b> These products are not intended for use by children under 3 years old or pets.",2157.jpg,"1 7/8"" W x 3"" H x 2"" D",As pictured.,"Price includes a one color, one position imprint. Imprint area may vary depending on art submitted. Unless otherwise specified, your imprint will be positioned per the item photograph.",Silkscreen,,250 pieces = 23 lbs.<br>Items are shipped in oversized boxes by dimensional weight. Minimum freight charge is 30 lbs. per box.,"3 working days without paper proof, 5 working days with paper proof.",24 Hour Rush available without paper proof up to 1000 pieces. Complete order and useable art must be received by 11:00 a.m. CST and marked Next Day order. Add 20%.,"Front: 1"" W x 1/4"" H, Back: 1 3/8 W x 2"" H, *Imprint is available on front or back. Please specify.",,,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).","Add $.31 (G) each. Please note, uniformity of registration on an additional color/position imprint cannot be guaranteed. (Subject to review and approval of artwork by the factory)",,,23,23,12,16,250,Standard,250,1.79,C,500,1.69,C,1000,1.59,C,2500,1.39,C,,,,,,
2158,Bowling Pin Stress Reliever,105,Stress Relievers,Stress Relievers,Stress Relievers,,48867 | Owosso | MI,"<b>*Special Note:</b> Our stress relievers are made of squeezable polyurethane. Some distortion of the imprint can be expected and ink coverage can vary. Due to the nature of the material, uniformity of the imprint cannot be guaranteed and may break up. Because they are hand made, no two stress relievers are the same.<br><b>*Stress reliever color may vary.</b><br><b>*Safety Advisory:</b> These products are not intended for use by children under 3 years old or pets.",2158.jpg,"1 7/8"" W x 5 3/4"" H x 1 7/8"" D",As pictured.,"Price includes a one color, one position imprint. Imprint area may vary depending on art submitted. Unless otherwise specified, your imprint will be positioned per the item photograph.",Silkscreen,,250 pieces = 25 lbs.<br>Items are shipped in oversized boxes by dimensional weight. Minimum freight charge is 30 lbs. per box.,"3 working days without paper proof, 5 working days with paper proof.",24 Hour Rush available without paper proof up to 1000 pieces. Complete order and useable art must be received by 11:00 a.m. CST and marked Next Day order. Add 20%.,"7/8 "" W x 3/4"" H",,,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).","Add $.31 (G) each. Please note, uniformity of registration on an additional color/position imprint cannot be guaranteed. (Subject to review and approval of artwork by the factory)",,,25,16,16,16,250,Standard,250,1.74,C,500,1.64,C,1000,1.56,C,2500,1.39,C,,,,,,
2161,Brain Stress Reliever,105,Stress Relievers,Stress Relievers,Stress Relievers,,48867 | Owosso | MI,"<b>*Special Note:</b> Our stress relievers are made of squeezable polyurethane. Some distortion of the imprint can be expected and ink coverage can vary. Due to the nature of the material, uniformity of the imprint cannot be guaranteed and may break up. Because they are hand made, no two stress relievers are the same.<br><b>*Stress reliever color may vary.</b><br><b>*Safety Advisory:</b> These products are not intended for use by children under 3 years old or pets.",2161.jpg,"3 1/2"" W x 2 1/4"" H x 2 3/4"" D",As pictured.,"Price includes a one color, one position imprint. Imprint area may vary depending on art submitted. Unless otherwise specified, your imprint will be positioned per the item photograph.",Silkscreen,,250 pieces = 28 lbs.<br>Items are shipped in oversized boxes by dimensional weight. Minimum freight charge is 30 lbs. per box.,"3 working days without paper proof, 5 working days with paper proof.",24 Hour Rush available without paper proof up to 1000 pieces. Complete order and useable art must be received by 11:00 a.m. CST and marked Next Day order. Add 20%.,"Side: 1 1/2"" W x 3/4"" H",,,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).","Add $.31 (G) each. Please note, uniformity of registration on an additional color/position imprint cannot be guaranteed. (Subject to review and approval of artwork by the factory)",,,28,28,13,19,250,Standard,250,1.43,C,500,1.38,C,1000,1.33,C,2500,1.19,C,,,,,,
2167,Stop Sign Stress Reliever,105,Stress Relievers,Stress Relievers,Stress Relievers,,48867 | Owosso | MI,"<b>*Special Note:</b> Our stress relievers are made of squeezable polyurethane. Some distortion of the imprint can be expected and ink coverage can vary. Due to the nature of the material, uniformity of the imprint cannot be guaranteed and may break up. Because they are hand made, no two stress relievers are the same.<br><b>*Stress reliever color may vary.</b><br><b>*Safety Advisory:</b> These products are not intended for use by children under 3 years old or pets.",2167.jpg,"3"" Diameter",As pictured.,"Price includes a one color, one position imprint. Imprint area may vary depending on art submitted. Unless otherwise specified, your imprint will be positioned per the item photograph.",Silkscreen,,250 pieces = 18 lbs.<br>Items are shipped in oversized boxes by dimensional weight. Minimum freight charge is 30 lbs. per box.,"3 working days without paper proof, 5 working days with paper proof.",24 Hour Rush available without paper proof up to 1000 pieces. Complete order and useable art must be received by 11:00 a.m. CST and marked Next Day order. Add 20%.,"Back: 2"" Diameter, Front: Above or Below ""Stop"": 1"" W x 3/4"" H, *Imprint is available on back or on front, above or below ""Stop."" Please specify.",,,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).","Add $.31 (G) each. Please note, uniformity of registration on an additional color/position imprint cannot be guaranteed. (Subject to review and approval of artwork by the factory)",,,18,16,16,16,250,Standard,250,1.37,C,500,1.29,C,1000,1.25,C,2500,1.19,C,,,,,,
2169,Brick Stress Reliever,105,Stress Relievers,Stress Relievers,Stress Relievers,,48867 | Owosso | MI,"<b>*Special Note:</b> Our stress relievers are made of squeezable polyurethane. Some distortion of the imprint can be expected and ink coverage can vary. Due to the nature of the material, uniformity of the imprint cannot be guaranteed and may break up. Because they are hand made, no two stress relievers are the same.<br><b>*Stress reliever color may vary.</b><br><b>*Safety Advisory:</b> These products are not intended for use by children under 3 years old or pets.",2169.jpg,"3 5/8"" W x 1 3/8"" H x 2"" D",As pictured.,"Price includes a one color, one position imprint. Imprint area may vary depending on art submitted. Unless otherwise specified, your imprint will be positioned per the item photograph.",Silkscreen,,250 pieces = 23 lbs.<br>Items are shipped in oversized boxes by dimensional weight. Minimum freight charge is 30 lbs. per box.,"3 working days without paper proof, 5 working days with paper proof.",24 Hour Rush available without paper proof up to 1000 pieces. Complete order and useable art must be received by 11:00 a.m. CST and marked Next Day order. Add 20%.,"2 1/2"" W x 1"" H",,,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).",,"Add $.31 (G) each. Please note, uniformity of registration on an additional color/position imprint cannot be guaranteed. (Subject to review and approval of artwork by the factory) Additional Positions: Not available.",,23,23,20,10,250,Standard,250,1.39,C,500,1.34,C,1000,1.29,C,2500,1.21,C,,,,,,
2175,Ambulance Stress Reliever,105,Stress Relievers,Stress Relievers,Stress Relievers,,48867 | Owosso | MI,"<b>*Special Note:</b> Our stress relievers are made of squeezable polyurethane. Some distortion of the imprint can be expected and ink coverage can vary. Due to the nature of the material, uniformity of the imprint cannot be guaranteed and may break up. Because they are hand made, no two stress relievers are the same.<br><b>*Stress reliever color may vary.</b><br><b>*Safety Advisory:</b> These products are not intended for use by children under 3 years old or pets.",2175.jpg,"4 1/4"" W x 1 3/4"" H x 1 1/2"" D",As pictured.,"Price includes a one color, one position imprint. Imprint area may vary depending on art submitted. Unless otherwise specified, your imprint will be positioned per the item photograph.",Silkscreen,,250 pieces = 21 lbs.<br>Items are shipped in oversized boxes by dimensional weight. Minimum freight charge is 30 lbs. per box.,"3 working days without paper proof, 5 working days with paper proof.",24 Hour Rush available without paper proof up to 1000 pieces. Complete order and useable art must be received by 11:00 a.m. CST and marked Next Day order. Add 20%.,"Top: 2"" W x 1"" H, Side: 7/8"" W x 1/2"" H, *Imprint is available on top or side. Please specify.",,,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).","Add $.31 (G) each. Please note, uniformity of registration on an additional color/position imprint cannot be guaranteed. (Subject to review and approval of artwork by the factory)",,,21,16,16,16,250,Standard,250,1.89,C,500,1.79,C,1000,1.69,C,2500,1.59,C,,,,,,
2176,Pickup Truck Stress Reliever,105,Stress Relievers,Stress Relievers,Stress Relievers,,48867 | Owosso | MI,"<b>*Special Note:</b> Our stress relievers are made of squeezable polyurethane. Some distortion of the imprint can be expected and ink coverage can vary. Due to the nature of the material, uniformity of the imprint cannot be guaranteed and may break up. Because they are hand made, no two stress relievers are the same.<br><b>*Stress reliever color may vary.</b><br><b>*Safety Advisory:</b> These products are not intended for use by children under 3 years old or pets.",2176.jpg,"4 3/4"" W x 1 3/4"" H x 1 7/8"" D",As pictured.,"Price includes a one color, one position imprint. Imprint area may vary depending on art submitted. Unless otherwise specified, your imprint will be positioned per the item photograph.",Silkscreen,,250 pieces = 18 lbs.<br>Items are shipped in oversized boxes by dimensional weight. Minimum freight charge is 30 lbs. per box.,"3 working days without paper proof, 5 working days with paper proof.",24 Hour Rush available without paper proof up to 1000 pieces. Complete order and useable art must be received by 11:00 a.m. CST and marked Next Day order. Add 20%.,"Side: 3/4"" W x 1/2"" H, Bed: 1"" W x 1"" H, Hood: 1"" W x 1/2"" H, *Imprint is available on side, bed or hood. Please specify.",,,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).","Add $.31 (G) each. Please note, uniformity of registration on an additional color/position imprint cannot be guaranteed. (Subject to review and approval of artwork by the factory)",,,18,16,16,16,250,Standard,250,1.99,C,500,1.85,C,1000,1.77,C,2500,1.68,C,,,,,,
2177,Semi-Truck Stress Reliever,105,Stress Relievers,Stress Relievers,Stress Relievers,,48867 | Owosso | MI,"<b>*Special Note:</b> Our stress relievers are made of squeezable polyurethane. Some distortion of the imprint can be expected and ink coverage can vary. Due to the nature of the material, uniformity of the imprint cannot be guaranteed and may break up. Because they are hand made, no two stress relievers are the same.<br><b>*Stress reliever color may vary.</b><br><b>*Safety Advisory:</b> These products are not intended for use by children under 3 years old or pets.",2177.jpg,"6"" W x 1 5/8"" H x 1 1/4"" D",As pictured.,"Price includes a one color, one position imprint. Imprint area may vary depending on art submitted. Unless otherwise specified, your imprint will be positioned per the item photograph.",Silkscreen,,250 pieces = 24 lbs.<br>Items are shipped in oversized boxes by dimensional weight. Minimum freight charge is 30 lbs. per box.,"3 working days without paper proof, 5 working days with paper proof.",24 Hour Rush available without paper proof up to 1000 pieces. Complete order and useable art must be received by 11:00 a.m. CST and marked Next Day order. Add 20%.,"Side: 3 1/2"" W x 3/4"" H, Top: 3 1/2"" W x 3/4"" H, Back: 7/8"" W x 7/8"" H, *Imprint is available on side, top or back. Please specify.",,,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).","Add $.31 (G) each. Please note, uniformity of registration on an additional color/position imprint cannot be guaranteed. (Subject to review and approval of artwork by the factory)",,,24,31,15,10,250,Standard,250,1.89,C,500,1.83,C,1000,1.78,C,2500,1.69,C,,,,,,
2178,Cruise Ship Stress Reliever,105,Stress Relievers,Stress Relievers,Stress Relievers,,48867 | Owosso | MI,"<b>*Special Note:</b> Our stress relievers are made of squeezable polyurethane. Some distortion of the imprint can be expected and ink coverage can vary. Due to the nature of the material, uniformity of the imprint cannot be guaranteed and may break up. Because they are hand made, no two stress relievers are the same.<br><b>*Stress reliever color may vary.</b><br><b>*Safety Advisory:</b> These products are not intended for use by children under 3 years old or pets.",2178.jpg,"4"" W x 1 3/4"" H x 1 7/8"" D",As pictured.,"Price includes a one color, one position imprint. Imprint area may vary depending on art submitted. Unless otherwise specified, your imprint will be positioned per the item photograph.",Silkscreen,,250 pieces = 22 lbs.<br>Items are shipped in oversized boxes by dimensional weight. Minimum freight charge is 30 lbs. per box.,"3 working days without paper proof, 5 working days with paper proof.",24 Hour Rush available without paper proof up to 1000 pieces. Complete order and useable art must be received by 11:00 a.m. CST and marked Next Day order. Add 20%.,"Side: 2"" W x 5/8"" H, Top: 5/8"" W x 5/8"" H, *Imprint is available on side or top. Please specify.",,,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).","Add $.31 (G) each. Please note, uniformity of registration on an additional color/position imprint cannot be guaranteed. (Subject to review and approval of artwork by the factory)",,,22,16,16,16,250,Standard,250,1.54,C,500,1.47,C,1000,1.38,C,2500,1.28,C,,,,,,
2179,Barrel Stress Reliever,105,Stress Relievers,Stress Relievers,Stress Relievers,,48867 | Owosso | MI,"<b>*Special Note:</b> Our stress relievers are made of squeezable polyurethane. Some distortion of the imprint can be expected and ink coverage can vary. Due to the nature of the material, uniformity of the imprint cannot be guaranteed and may break up. Because they are hand made, no two stress relievers are the same.<br><b>*Stress reliever color may vary.</b><br><b>*Safety Advisory:</b> These products are not intended for use by children under 3 years old or pets.",2179.jpg,"3 1/2"" H x 2 1/4"" Diameter",As pictured.,"Price includes a one color, one position imprint. Imprint area may vary depending on art submitted. Unless otherwise specified, your imprint will be positioned per the item photograph.",Silkscreen,,250 pieces = 30 lbs.<br>Items are shipped in oversized boxes by dimensional weight. Minimum freight charge is 30 lbs. per box.,"3 working days without paper proof, 5 working days with paper proof.",24 Hour Rush available without paper proof up to 1000 pieces. Complete order and useable art must be received by 11:00 a.m. CST and marked Next Day order. Add 20%.,"Side: 1 1/2"" W x 5/8"" H, Top: 1"" W x 1/2"" H, *Imprint is available on side or top. Please specify.",,,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).","Add $.31 (G) each. Please note, uniformity of registration on an additional color/position imprint cannot be guaranteed. (Subject to review and approval of artwork by the factory)",,,30,18,18,18,250,Standard,250,1.61,C,500,1.52,C,1000,1.42,C,2500,1.35,C,,,,,,
2183,Syringe Stress Reliever,105,Stress Relievers,Stress Relievers,Stress Relievers,,48867 | Owosso | MI,"<b>*Special Note:</b> Our stress relievers are made of squeezable polyurethane. Some distortion of the imprint can be expected and ink coverage can vary. Due to the nature of the material, uniformity of the imprint cannot be guaranteed and may break up. Because they are hand made, no two stress relievers are the same.<br><b>*Stress reliever color may vary.</b><br><b>*Safety Advisory:</b> These products are not intended for use by children under 3 years old or pets.",2183.jpg,"5 1/8"" W x 1 1/2"" H",White with blue or white with red.,"Price includes a one color, one position imprint. Imprint area may vary depending on art submitted. Unless otherwise specified, your imprint will be positioned per the item photograph.",Silkscreen,,250 pieces = 18 lbs.<br>Items are shipped in oversized boxes by dimensional weight. Minimum freight charge is 30 lbs. per box.,"3 working days without paper proof, 5 working days with paper proof.",24 Hour Rush available without paper proof up to 1000 pieces. Complete order and useable art must be received by 11:00 a.m. CST and marked Next Day order. Add 20%.,"1 "" W x 1/2"" H",,,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).","Add $.31 (G) each. Please note, uniformity of registration on an additional color/position imprint cannot be guaranteed. (Subject to review and approval of artwork by the factory)",,,18,14,14,10,250,Standard,250,1.48,C,500,1.38,C,1000,1.24,C,2500,1.14,C,,,,,,
2342,Construction Cone Stress Reliever/Memo Holder,105,Stress Relievers,Stress Relievers,Stress Relievers,,48867 | Owosso | MI,"<b>*Special Note:</b> Our stress relievers are made of squeezable polyurethane. Some distortion of the imprint can be expected and ink coverage can vary. Due to the nature of the material, uniformity of the imprint cannot be guaranteed and may break up. Because they are hand made, no two stress relievers are the same.<br><b>*Stress reliever color may vary.</b><br><b>*Safety Advisory:</b> These products are not intended for use by children under 3 years old or pets.",2342.jpg,"2 1/2"" W x 5 3/4"" H x 2 1/2"" D",As pictured.,"Price includes a one color, one position imprint. Imprint area may vary depending on art submitted. Unless otherwise specified, your imprint will be positioned per the item photograph.",Silkscreen,,250 pieces = 23 lbs.<br>Items are shipped in oversized boxes by dimensional weight. Minimum freight charge is 30 lbs. per box.,"3 working days without paper proof, 5 working days with paper proof.",24 Hour Rush available without paper proof up to 1000 pieces. Complete order and useable art must be received by 11:00 a.m. CST and marked Next Day order. Add 20%.,See Diagram,,,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).","Add $.31 (G) each. Please note, uniformity of registration on an additional color/position imprint cannot be guaranteed. (Subject to review and approval of artwork by the factory)",,,23,27,14,14,250,Standard,250,1.76,C,500,1.73,C,1000,1.7,C,2500,1.67,C,,,,,,
2601,Smile Face Stick People,105,Stress Relievers,Stress Relievers,Stress Relievers,,48867 | Owosso | MI,"<b>*Special Note:</b> Our stress relievers are made of squeezable polyurethane. Some distortion of the imprint can be expected and ink coverage can vary. Due to the nature of the material, uniformity of the imprint cannot be guaranteed and may break up. Because they are hand made, no two stress relievers are the same.<br><b>*Stress reliever color may vary.</b><br><b>*Safety Advisory:</b> These products are not intended for use by children under 3 years old or pets.",2601.jpg,"3 3/4"" W x 5 1/8"" H x 2"" D",As pictured.,"Price includes a one color, one position imprint. Imprint area may vary depending on art submitted. Unless otherwise specified, your imprint will be positioned per the item photograph.",Silkscreen,,250 pieces = 40 lbs.<br>Items are shipped in oversized boxes by dimensional weight. Minimum freight charge is 30 lbs. per box.,"3 working days without paper proof, 5 working days with paper proof.",24 Hour Rush available without paper proof up to 1000 pieces. Complete order and useable art must be received by 11:00 a.m. CST and marked Next Day order. Add 20%.,"Forehead: 1 1/4"" W x 3/8"" H, Back: 1 7/8"" Diameter, *Imprint is available on forehead or back. Please specify.",,,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).","Add $.31 (G) each. Please note, uniformity of registration on an additional color/position imprint cannot be guaranteed. (Subject to review and approval of artwork by the factory)",,,40,19,12,22,250,Standard,250,2.34,C,500,2.24,C,1000,2.15,C,2500,2.05,C,,,,,,
2610,Globe Stick People,105,Stress Relievers,Stress Relievers,Stress Relievers,,48867 | Owosso | MI,"<b>*Special Note:</b> Our stress relievers are made of squeezable polyurethane. Some distortion of the imprint can be expected and ink coverage can vary. Due to the nature of the material, uniformity of the imprint cannot be guaranteed and may break up. Because they are hand made, no two stress relievers are the same.<br><b>*Stress reliever color may vary.</b><br><b>*Safety Advisory:</b> These products are not intended for use by children under 3 years old or pets.",2610.jpg,"3 3/4"" W x 4 3/4"" H x 2 1/2"" D",As pictured.,"Price includes a one color, one position imprint. Imprint area may vary depending on art submitted. Unless otherwise specified, your imprint will be positioned per the item photograph.",Silkscreen,,250 pieces = 37 lbs.<br>Items are shipped in oversized boxes by dimensional weight. Minimum freight charge is 30 lbs. per box.,"3 working days without paper proof, 5 working days with paper proof.",24 Hour Rush available without paper proof up to 1000 pieces. Complete order and useable art must be received by 11:00 a.m. CST and marked Next Day order. Add 20%.,"1"" W x 7/8"" H",,,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).","Add $.31 (G) each. Please note, uniformity of registration on an additional color/position imprint cannot be guaranteed. (Subject to review and approval of artwork by the factory)",,,37,26,15,20,250,Standard,250,2.29,C,500,2.19,C,1000,2.09,C,2500,1.99,C,,,,,,
2647,Hard Hat Stick People,105,Stress Relievers,Stress Relievers,Stress Relievers,,48867 | Owosso | MI,"<b>*Special Note:</b> Our stress relievers are made of squeezable polyurethane. Some distortion of the imprint can be expected and ink coverage can vary. Due to the nature of the material, uniformity of the imprint cannot be guaranteed and may break up. Because they are hand made, no two stress relievers are the same.<br><b>*Stress reliever color may vary.</b><br><b>*Safety Advisory:</b> These products are not intended for use by children under 3 years old or pets.",2647.jpg,"2 3/4"" W x 4"" H x 3 1/2"" D",As pictured.,"Price includes a one color, one position imprint. Imprint area may vary depending on art submitted. Unless otherwise specified, your imprint will be positioned per the item photograph.",Silkscreen,,250 pieces = 37 lbs.<br>Items are shipped in oversized boxes by dimensional weight. Minimum freight charge is 30 lbs. per box.,"3 working days without paper proof, 5 working days with paper proof.",24 Hour Rush available without paper proof up to 1000 pieces. Complete order and useable art must be received by 11:00 a.m. CST and marked Next Day order. Add 20%.,"Front: 3/4"" Diameter, Side: 1"" W x 3/4"" H , *Imprint is available on front or side. Please specify.",,,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).","Add $.31 (G) each. Please note, uniformity of registration on an additional color/position imprint cannot be guaranteed. (Subject to review and approval of artwork by the factory)",,,37,18,18,18,250,Standard,250,1.89,C,500,1.79,C,1000,1.69,C,2500,1.55,C,,,,,,
2700,Round Bounce Back Stress Reliever,105,Stress Relievers,Stress Relievers,Stress Relievers,,48867 | Owosso | MI,"<b>*Special Note:</b> Our stress relievers are made of squeezable polyurethane. Some distortion of the imprint can be expected and ink coverage can vary. Due to the nature of the material, uniformity of the imprint cannot be guaranteed and may break up. Because they are hand made, no two stress relievers are the same.<br><b>*Stress reliever color may vary.</b><br><b>*Safety Advisory:</b> These products are not intended for use by children under 3 years old or pets.",2700.jpg,"2 1/2"" Diameter","Blue, red, white or yellow.","Price includes a one color, one position imprint. Imprint area may vary depending on art submitted. Unless otherwise specified, your imprint will be positioned per the item photograph.",Silkscreen,,250 pieces = 18 lbs.<br>Items are shipped in oversized boxes by dimensional weight. Minimum freight charge is 30 lbs. per box.,"3 working days without paper proof, 5 working days with paper proof.",24 Hour Rush available without paper proof up to 1000 pieces. Complete order and useable art must be received by 11:00 a.m. CST and marked Next Day order. Add 20%.,"1 1/4"" Diameter",,,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).","Add $.31 (G) each. Please note, uniformity of registration on an additional color/position imprint cannot be guaranteed. (Subject to review and approval of artwork by the factory)",,,18,16,16,16,250,Standard,250,1.64,C,500,1.49,C,1000,1.34,C,2500,1.29,C,,,,,,
2701,Smile Face Bounce Back Stress Reliever,105,Stress Relievers,Stress Relievers,Stress Relievers,,48867 | Owosso | MI,"<b>*Special Note:</b> Our stress relievers are made of squeezable polyurethane. Some distortion of the imprint can be expected and ink coverage can vary. Due to the nature of the material, uniformity of the imprint cannot be guaranteed and may break up. Because they are hand made, no two stress relievers are the same.<br><b>*Stress reliever color may vary.</b><br><b>*Safety Advisory:</b> These products are not intended for use by children under 3 years old or pets.",2701.jpg,"2 1/2"" Diameter",As pictured.,"Price includes a one color, one position imprint. Imprint area may vary depending on art submitted. Unless otherwise specified, your imprint will be positioned per the item photograph.",Silkscreen,,250 pieces = 18 lbs.<br>Items are shipped in oversized boxes by dimensional weight. Minimum freight charge is 30 lbs. per box.,"3 working days without paper proof, 5 working days with paper proof.",24 Hour Rush available without paper proof up to 1000 pieces. Complete order and useable art must be received by 11:00 a.m. CST and marked Next Day order. Add 20%.,"Back: 1 1/4"" Diameter",,,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).","Add $.31 (G) each. Please note, uniformity of registration on an additional color/position imprint cannot be guaranteed. (Subject to review and approval of artwork by the factory)",,,18,16,16,16,250,Standard,250,1.56,C,500,1.49,C,1000,1.39,C,2500,1.29,C,,,,,,
2743,Sofa Cell Phone/Business Card Holder,105,Stress Relievers,Stress Relievers,Stress Relievers,Holds cell phone or business cards.,48867 | Owosso | MI,"<b>*Special Note:</b> Our stress relievers are made of squeezable polyurethane. Some distortion of the imprint can be expected and ink coverage can vary. Due to the nature of the material, uniformity of the imprint cannot be guaranteed and may break up. Because they are hand made, no two stress relievers are the same.<br><b>*Stress reliever color may vary.</b><br><b>*Safety Advisory:</b> These products are not intended for use by children under 3 years old or pets.",2743.jpg,"5 1/4""W x 3"" H x 2 3/4"" D","Blue, red or white.","Price includes a one color, one position imprint. Imprint area may vary depending on art submitted. Unless otherwise specified, your imprint will be positioned per the item photograph.",Silkscreen,,100 pieces = 20 lbs.<br>Items are shipped in oversized boxes by dimensional weight. Minimum freight charge is 30 lbs. per box.,"3 working days without paper proof, 5 working days with paper proof.",24 Hour Rush available without paper proof up to 1000 pieces. Complete order and useable art must be received by 11:00 a.m. CST and marked Next Day order. Add 20%.,"Base: 3""W x 1/2"" H, Sofa Back: 2 1/2""W x 1"" H, *Imprint is available on base or sofa back. Please specify.",,,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).","Add $.31 (G) each. Please note, uniformity of registration on an additional color/position imprint cannot be guaranteed. (Subject to review and approval of artwork by the factory)",,,20,18,18,18,100,Standard,250,3.09,C,500,2.99,C,1000,2.86,C,2500,2.59,C,,,,,,
6502,Floating Oval Key Tag,105,Stress Relievers,Stress Relievers,Stress Relievers,,48867 | Owosso | MI,"<b>*Special Note:</b> Our stress relievers are made of squeezable polyurethane. Some distortion of the imprint can be expected and ink coverage can vary. Due to the nature of the material, uniformity of the imprint cannot be guaranteed and may break up. Because they are hand made, no two stress relievers are the same.<br><b>*Stress reliever color may vary.</b><br><b>*Safety Advisory:</b> These products are not intended for use by children under 3 years old or pets.",6502.jpg,"3 3/8"" W x 1 1/2"" H x 3/4"" D","Blue, red, white or yellow.","Price includes a one color, one position imprint. Imprint area may vary depending on art submitted. Unless otherwise specified, your imprint will be positioned per the item photograph.",Silkscreen,,250 pieces = 12 lbs.<br>Items are shipped in oversized boxes by dimensional weight. Minimum freight charge is 30 lbs. per box.,"3 working days without paper proof, 5 working days with paper proof.",24 Hour Rush available without paper proof up to 1000 pieces. Complete order and useable art must be received by 11:00 a.m. CST and marked Next Day order. Add 20%.,"1 7/8"" W x 7/8"" H",,,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).","Add $.31 (G) each. Please note, uniformity of registration on an additional color/position imprint cannot be guaranteed. (Subject to review and approval of artwork by the factory)",,,12,12,12,12,250,Standard,250,1.13,C,500,1.03,C,1000,0.99,C,2500,0.93,C,,,,,,
